@relation SpotifySongs-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute track_name string
@attribute artist(s)_name string
@attribute artist_count numeric
@attribute released_year numeric
@attribute released_month numeric
@attribute released_day numeric
@attribute in_spotify_playlists numeric
@attribute in_spotify_charts numeric
@attribute streams numeric
@attribute in_apple_playlists numeric
@attribute in_apple_charts numeric
@attribute in_deezer_playlists numeric
@attribute in_deezer_charts numeric
@attribute in_shazam_charts numeric
@attribute bpm numeric
@attribute key {A#,A,B,C#,D#,D,E,F#,F,G#,G,none}
@attribute danceability numeric
@attribute valence numeric
@attribute energy numeric
@attribute acousticness numeric
@attribute instrumentalness numeric
@attribute liveness numeric
@attribute speechiness numeric
@attribute cover_url string
@attribute class {Major,Minor}

@data
'Like Crazy',Jimin,0,1,0.181818,0.766667,0.010687,0.462585,0.098104,0.011905,0.378182,0.00186,0.034483,0.019986,0.390071,G,0.547945,0.344086,0.727273,0,0,0.351064,0.032258,https://i.scdn.co/image/ab67616d0000b2732b46078245d0120690eb560d,Major
'LADY GAGA','Gabito Ballesteros  Junior H  Peso Pluma',0.285714,1,0.454545,0.7,0.005694,0.176871,0.023338,0.016369,0.592727,0.000809,0.068966,0,0.531915,F,0.575342,0.892473,0.738636,0.226804,0,0.414894,0.032258,'Not Found',Minor
'I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ','Taylor Swift',0,1,0.545455,0.2,0.009174,0.258503,0.014075,0.108631,0.432727,0.003396,0.017241,0.103377,0.411348,F#,0.630137,0.83871,0.761364,0.061856,0,0.031915,0.016129,'Not Found',Major
'I Wanna Be Yours','Arctic Monkeys',0,0.892473,0,0,0.242647,0.748299,0.350179,0.035714,0.356364,0.047061,0.034483,0.05031,0.496454,none,0.342466,0.430108,0.375,0.123711,0.021978,0.085106,0.016129,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,Minor
'\'Peso Pluma: Bzrp Music Sessions, Vol. 55\'','Bizarrap  Peso Pluma',0.142857,1,0.363636,1,0.02425,0.272109,0.054171,0.025298,0.552727,0.002588,0.189655,0.095796,0.48227,F,0.849315,0.827957,0.659091,0.268041,0,0.095745,0.048387,https://i.scdn.co/image/ab67616d0000b27315583045b2fdb7d7bab10e81,Minor
'Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series)','The Weeknd  Madonna  Playboi Carti',0.285714,1,0.454545,0.033333,0.036204,0.591837,0.031146,0.110119,0.661818,0.007035,0.241379,0.753274,0.241135,C#,0.849315,0.849462,0.670455,0.072165,0,0.351064,0.290323,https://i.scdn.co/image/ab67616d0000b2734c8f092adc59b4bf4212389d,Major
'SABOR FRESA','Fuerza Regida',0,1,0.454545,0.7,0.004142,0.176871,0.021139,0.02381,0.541818,0.000809,0.086207,0.115782,0.460993,G,0.767123,0.989247,0.875,0.092784,0,0.06383,0.112903,https://i.scdn.co/image/ab67616d0000b273cfe3eb72c48b93971e53efd9,Minor
'Calm Down (with Selena Gomez)','Rï¿½ï¿½ma  Selena G',0.142857,0.989247,0.181818,0.8,0.13394,0.52381,0.242766,0.300595,0.432727,0.025714,0.655172,0.066161,0.297872,B,0.780822,0.83871,0.806818,0.443299,0,0.117021,0.032258,'Not Found',Major
'MOJABI GHOST','Tainy  Bad Bunny',0.142857,1,0.454545,0.933333,0.015662,0.272109,0.016535,0.052083,0.396364,0.003315,0.241379,0.145417,0.404255,F#,0.794521,0.752688,0.704545,0.14433,0,0.56383,0.032258,https://i.scdn.co/image/ab67616d0000b273de7b9af78fbdda96c5a0635b,Minor
'Last Night','Morgan Wallen',0,1,0,1,0.045189,0.129252,0.116047,0.077381,0.389091,0.001213,0.017241,0.223983,0.985816,F#,0.39726,0.516129,0.670455,0.474227,0,0.12766,0.032258,https://i.scdn.co/image/ab67616d0000b273fc1df8423733f6f3c9e8dea2,Major
'Dance The Night (From Barbie The Album)','Dua Lipa',0,1,0.363636,0.8,0.055933,0.687075,0.034398,0,0,0.011563,0.655172,0,0.319149,B,0.60274,0.795699,0.863636,0.020619,0,0.319149,0.048387,https://i.scdn.co/image/ab67616d0000b2737dd3ba455ee3390cb55b0192,Minor
Rush,'Troye Sivan',0,1,0.545455,0.4,0.015757,0.530612,0.006096,0.105655,0.490909,0.004043,0.017241,0.202619,0.432624,F,0.69863,0.333333,0.852273,0,0,0.085106,0.064516,https://i.scdn.co/image/ab67616d0000b273a4ffb2049ffce92bdae5f559,Minor
TULUM,'Peso Pluma  Grupo Frontera',0.142857,1,0.454545,0.9,0.004445,0.231293,0.014118,0.029762,0.672727,0.001051,0.137931,0.135768,0.730496,F#,0.452055,0.634409,0.886364,0.402062,0,0.085106,0.048387,https://i.scdn.co/image/ab67616d0000b2732fb583ed96f8f35cbf2897ba,Major
Creepin,'The Weeknd  21 Savage  Metro Boomin',0.285714,0.989247,1,0.033333,0.113587,0.598639,0.227856,0.168155,0.541818,0.019811,0.396552,0.018608,0.234043,C#,0.657534,0.139785,0.590909,0.371134,0,0.053191,0.048387,https://i.scdn.co/image/ab67616d0000b273703d523982199b2d1f2c77f5,Minor
