@relation SpotifySongs-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6

@attribute track_name string
@attribute artist(s)_name string
@attribute artist_count {'\'(-inf-1.7]\'','\'(1.7-2.4]\'','\'(2.4-3.1]\'','\'(3.1-3.8]\'','\'(3.8-4.5]\'','\'(4.5-5.2]\'','\'(5.2-5.9]\'','\'(5.9-6.6]\'','\'(6.6-7.3]\'','\'(7.3-inf)\''}
@attribute released_year {'\'(-inf-1939.3]\'','\'(1939.3-1948.6]\'','\'(1948.6-1957.9]\'','\'(1957.9-1967.2]\'','\'(1967.2-1976.5]\'','\'(1976.5-1985.8]\'','\'(1985.8-1995.1]\'','\'(1995.1-2004.4]\'','\'(2004.4-2013.7]\'','\'(2013.7-inf)\''}
@attribute released_month {'\'(-inf-2.1]\'','\'(2.1-3.2]\'','\'(3.2-4.3]\'','\'(4.3-5.4]\'','\'(5.4-6.5]\'','\'(6.5-7.6]\'','\'(7.6-8.7]\'','\'(8.7-9.8]\'','\'(9.8-10.9]\'','\'(10.9-inf)\''}
@attribute released_day {'\'(-inf-4]\'','\'(4-7]\'','\'(7-10]\'','\'(10-13]\'','\'(13-16]\'','\'(16-19]\'','\'(19-22]\'','\'(22-25]\'','\'(25-28]\'','\'(28-inf)\''}
@attribute in_spotify_playlists {'\'(-inf-5317.7]\'','\'(5317.7-10604.4]\'','\'(10604.4-15891.1]\'','\'(15891.1-21177.8]\'','\'(21177.8-26464.5]\'','\'(26464.5-31751.2]\'','\'(31751.2-37037.9]\'','\'(37037.9-42324.6]\'','\'(42324.6-47611.3]\'','\'(47611.3-inf)\''}
@attribute in_spotify_charts {'\'(-inf-14.7]\'','\'(14.7-29.4]\'','\'(29.4-44.1]\'','\'(44.1-58.8]\'','\'(58.8-73.5]\'','\'(73.5-88.2]\'','\'(88.2-102.9]\'','\'(102.9-117.6]\'','\'(117.6-132.3]\'','\'(132.3-inf)\''}
@attribute streams {'\'(-inf-370391993.2]\'','\'(370391993.2-740781224.4]\'','\'(740781224.4-1111170455.6]\'','\'(1111170455.6-1481559686.8]\'','\'(1481559686.8-1851948918]\'','\'(1851948918-2222338149.2]\'','\'(2222338149.2-2592727380.4]\'','\'(2592727380.4-2963116611.6]\'','\'(2963116611.6-3333505842.8]\'','\'(3333505842.8-inf)\''}
@attribute in_apple_playlists {'\'(-inf-67.2]\'','\'(67.2-134.4]\'','\'(134.4-201.6]\'','\'(201.6-268.8]\'','\'(268.8-336]\'','\'(336-403.2]\'','\'(403.2-470.4]\'','\'(470.4-537.6]\'','\'(537.6-604.8]\'','\'(604.8-inf)\''}
@attribute in_apple_charts {'\'(-inf-27.5]\'','\'(27.5-55]\'','\'(55-82.5]\'','\'(82.5-110]\'','\'(110-137.5]\'','\'(137.5-165]\'','\'(165-192.5]\'','\'(192.5-220]\'','\'(220-247.5]\'','\'(247.5-inf)\''}
@attribute in_deezer_playlists {'\'(-inf-1236.7]\'','\'(1236.7-2473.4]\'','\'(2473.4-3710.1]\'','\'(3710.1-4946.8]\'','\'(4946.8-6183.5]\'','\'(6183.5-7420.2]\'','\'(7420.2-8656.9]\'','\'(8656.9-9893.6]\'','\'(9893.6-11130.3]\'','\'(11130.3-inf)\''}
@attribute in_deezer_charts {'\'(-inf-5.8]\'','\'(5.8-11.6]\'','\'(11.6-17.4]\'','\'(17.4-23.2]\'','\'(23.2-29]\'','\'(29-34.8]\'','\'(34.8-40.6]\'','\'(40.6-46.4]\'','\'(46.4-52.2]\'','\'(52.2-inf)\''}
@attribute in_shazam_charts {'\'(-inf-145.1]\'','\'(145.1-290.2]\'','\'(290.2-435.3]\'','\'(435.3-580.4]\'','\'(580.4-725.5]\'','\'(725.5-870.6]\'','\'(870.6-1015.7]\'','\'(1015.7-1160.8]\'','\'(1160.8-1305.9]\'','\'(1305.9-inf)\''}
@attribute bpm {'\'(-inf-79.1]\'','\'(79.1-93.2]\'','\'(93.2-107.3]\'','\'(107.3-121.4]\'','\'(121.4-135.5]\'','\'(135.5-149.6]\'','\'(149.6-163.7]\'','\'(163.7-177.8]\'','\'(177.8-191.9]\'','\'(191.9-inf)\''}
@attribute key {A#,A,B,C#,D#,D,E,F#,F,G#,G,none}
@attribute danceability {'\'(-inf-30.3]\'','\'(30.3-37.6]\'','\'(37.6-44.9]\'','\'(44.9-52.2]\'','\'(52.2-59.5]\'','\'(59.5-66.8]\'','\'(66.8-74.1]\'','\'(74.1-81.4]\'','\'(81.4-88.7]\'','\'(88.7-inf)\''}
@attribute valence {'\'(-inf-13.3]\'','\'(13.3-22.6]\'','\'(22.6-31.9]\'','\'(31.9-41.2]\'','\'(41.2-50.5]\'','\'(50.5-59.8]\'','\'(59.8-69.1]\'','\'(69.1-78.4]\'','\'(78.4-87.7]\'','\'(87.7-inf)\''}
@attribute energy {'\'(-inf-17.8]\'','\'(17.8-26.6]\'','\'(26.6-35.4]\'','\'(35.4-44.2]\'','\'(44.2-53]\'','\'(53-61.8]\'','\'(61.8-70.6]\'','\'(70.6-79.4]\'','\'(79.4-88.2]\'','\'(88.2-inf)\''}
@attribute acousticness {'\'(-inf-9.7]\'','\'(9.7-19.4]\'','\'(19.4-29.1]\'','\'(29.1-38.8]\'','\'(38.8-48.5]\'','\'(48.5-58.2]\'','\'(58.2-67.9]\'','\'(67.9-77.6]\'','\'(77.6-87.3]\'','\'(87.3-inf)\''}
@attribute instrumentalness {'\'(-inf-9.1]\'','\'(9.1-18.2]\'','\'(18.2-27.3]\'','\'(27.3-36.4]\'','\'(36.4-45.5]\'','\'(45.5-54.6]\'','\'(54.6-63.7]\'','\'(63.7-72.8]\'','\'(72.8-81.9]\'','\'(81.9-inf)\''}
@attribute liveness {'\'(-inf-12.4]\'','\'(12.4-21.8]\'','\'(21.8-31.2]\'','\'(31.2-40.6]\'','\'(40.6-50]\'','\'(50-59.4]\'','\'(59.4-68.8]\'','\'(68.8-78.2]\'','\'(78.2-87.6]\'','\'(87.6-inf)\''}
@attribute speechiness {'\'(-inf-8.2]\'','\'(8.2-14.4]\'','\'(14.4-20.6]\'','\'(20.6-26.8]\'','\'(26.8-33]\'','\'(33-39.2]\'','\'(39.2-45.4]\'','\'(45.4-51.6]\'','\'(51.6-57.8]\'','\'(57.8-inf)\''}
@attribute cover_url string
@attribute class {Major,Minor}

@data
'un x100to','Bad Bunny  Grupo Frontera','\'(1.7-2.4]\'','\'(2013.7-inf)\'','\'(3.2-4.3]\'','\'(16-19]\'','\'(-inf-5317.7]\'','\'(29.4-44.1]\'','\'(370391993.2-740781224.4]\'','\'(-inf-67.2]\'','\'(192.5-220]\'','\'(-inf-1236.7]\'','\'(11.6-17.4]\'','\'(145.1-290.2]\'','\'(79.1-93.2]\'',F#,'\'(52.2-59.5]\'','\'(50.5-59.8]\'','\'(70.6-79.4]\'','\'(19.4-29.1]\'','\'(-inf-9.1]\'','\'(21.8-31.2]\'','\'(-inf-8.2]\'','Not Found',Minor
'Super Shy',NewJeans,'\'(-inf-1.7]\'','\'(2013.7-inf)\'','\'(6.5-7.6]\'','\'(4-7]\'','\'(-inf-5317.7]\'','\'(44.1-58.8]\'','\'(-inf-370391993.2]\'','\'(-inf-67.2]\'','\'(192.5-220]\'','\'(-inf-1236.7]\'','\'(-inf-5.8]\'','\'(145.1-290.2]\'','\'(149.6-163.7]\'',F,'\'(74.1-81.4]\'','\'(50.5-59.8]\'','\'(79.4-88.2]\'','\'(9.7-19.4]\'','\'(-inf-9.1]\'','\'(12.4-21.8]\'','\'(-inf-8.2]\'',https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af,Minor
Flowers,'Miley Cyrus','\'(-inf-1.7]\'','\'(2013.7-inf)\'','\'(-inf-2.1]\'','\'(10-13]\'','\'(10604.4-15891.1]\'','\'(102.9-117.6]\'','\'(1111170455.6-1481559686.8]\'','\'(268.8-336]\'','\'(192.5-220]\'','\'(-inf-1236.7]\'','\'(52.2-inf)\'','\'(1015.7-1160.8]\'','\'(107.3-121.4]\'',none,'\'(66.8-74.1]\'','\'(59.8-69.1]\'','\'(61.8-70.6]\'','\'(-inf-9.7]\'','\'(-inf-9.1]\'','\'(-inf-12.4]\'','\'(-inf-8.2]\'',https://i.scdn.co/image/ab67616d0000b27358039b5147731b6e52202e46,Major
Daylight,'David Kushner','\'(-inf-1.7]\'','\'(2013.7-inf)\'','\'(3.2-4.3]\'','\'(13-16]\'','\'(-inf-5317.7]\'','\'(88.2-102.9]\'','\'(370391993.2-740781224.4]\'','\'(67.2-134.4]\'','\'(137.5-165]\'','\'(-inf-1236.7]\'','\'(23.2-29]\'','\'(1160.8-1305.9]\'','\'(121.4-135.5]\'',D,'\'(44.9-52.2]\'','\'(31.9-41.2]\'','\'(35.4-44.2]\'','\'(77.6-87.3]\'','\'(-inf-9.1]\'','\'(-inf-12.4]\'','\'(-inf-8.2]\'',https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae,Minor
'As It Was','Harry Styles','\'(-inf-1.7]\'','\'(2013.7-inf)\'','\'(2.1-3.2]\'','\'(28-inf)\'','\'(21177.8-26464.5]\'','\'(117.6-132.3]\'','\'(2222338149.2-2592727380.4]\'','\'(336-403.2]\'','\'(192.5-220]\'','\'(-inf-1236.7]\'','\'(40.6-46.4]\'','\'(-inf-145.1]\'','\'(163.7-177.8]\'',F#,'\'(44.9-52.2]\'','\'(59.8-69.1]\'','\'(70.6-79.4]\'','\'(29.1-38.8]\'','\'(-inf-9.1]\'','\'(21.8-31.2]\'','\'(-inf-8.2]\'',https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,Minor
'Kill Bill',SZA,'\'(-inf-1.7]\'','\'(2013.7-inf)\'','\'(10.9-inf)\'','\'(7-10]\'','\'(5317.7-10604.4]\'','\'(73.5-88.2]\'','\'(1111170455.6-1481559686.8]\'','\'(134.4-201.6]\'','\'(137.5-165]\'','\'(-inf-1236.7]\'','\'(11.6-17.4]\'','\'(145.1-290.2]\'','\'(79.1-93.2]\'',G#,'\'(59.5-66.8]\'','\'(41.2-50.5]\'','\'(70.6-79.4]\'','\'(-inf-9.7]\'','\'(9.1-18.2]\'','\'(12.4-21.8]\'','\'(-inf-8.2]\'',https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5,Major
'Cupid - Twin Ver.','Fifty Fifty','\'(-inf-1.7]\'','\'(2013.7-inf)\'','\'(-inf-2.1]\'','\'(22-25]\'','\'(-inf-5317.7]\'','\'(73.5-88.2]\'','\'(370391993.2-740781224.4]\'','\'(67.2-134.4]\'','\'(192.5-220]\'','\'(-inf-1236.7]\'','\'(5.8-11.6]\'','\'(-inf-145.1]\'','\'(107.3-121.4]\'',B,'\'(74.1-81.4]\'','\'(69.1-78.4]\'','\'(53-61.8]\'','\'(38.8-48.5]\'','\'(-inf-9.1]\'','\'(31.2-40.6]\'','\'(-inf-8.2]\'',https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb,Minor
'What Was I Made For? [From The Motion Picture Barbie]','Billie Eilish','\'(-inf-1.7]\'','\'(2013.7-inf)\'','\'(6.5-7.6]\'','\'(10-13]\'','\'(-inf-5317.7]\'','\'(102.9-117.6]\'','\'(-inf-370391993.2]\'','\'(67.2-134.4]\'','\'(220-247.5]\'','\'(-inf-1236.7]\'','\'(23.2-29]\'','\'(1160.8-1305.9]\'','\'(-inf-79.1]\'',none,'\'(37.6-44.9]\'','\'(13.3-22.6]\'','\'(-inf-17.8]\'','\'(87.3-inf)\'','\'(-inf-9.1]\'','\'(-inf-12.4]\'','\'(-inf-8.2]\'','Not Found',Major
'Classy 101','Feid  Young Miko','\'(1.7-2.4]\'','\'(2013.7-inf)\'','\'(2.1-3.2]\'','\'(28-inf)\'','\'(-inf-5317.7]\'','\'(29.4-44.1]\'','\'(-inf-370391993.2]\'','\'(-inf-67.2]\'','\'(82.5-110]\'','\'(-inf-1236.7]\'','\'(11.6-17.4]\'','\'(145.1-290.2]\'','\'(93.2-107.3]\'',B,'\'(81.4-88.7]\'','\'(59.8-69.1]\'','\'(61.8-70.6]\'','\'(9.7-19.4]\'','\'(-inf-9.1]\'','\'(-inf-12.4]\'','\'(14.4-20.6]\'',https://i.scdn.co/image/ab67616d0000b27329ebee2b5fb008871fcd201a,Major
'Like Crazy',Jimin,'\'(-inf-1.7]\'','\'(2013.7-inf)\'','\'(2.1-3.2]\'','\'(22-25]\'','\'(-inf-5317.7]\'','\'(58.8-73.5]\'','\'(-inf-370391993.2]\'','\'(-inf-67.2]\'','\'(82.5-110]\'','\'(-inf-1236.7]\'','\'(-inf-5.8]\'','\'(-inf-145.1]\'','\'(107.3-121.4]\'',G,'\'(59.5-66.8]\'','\'(31.9-41.2]\'','\'(70.6-79.4]\'','\'(-inf-9.7]\'','\'(-inf-9.1]\'','\'(31.2-40.6]\'','\'(-inf-8.2]\'',https://i.scdn.co/image/ab67616d0000b2732b46078245d0120690eb560d,Major
